trade_id,scenario_id,symbol,entry_time,entry_price,exit_time,exit_price,exit_reason,position_size,pnl,pnl_pct,fees,slippage
123,S001_RR1,BTC/USDT,2024-05-03T21:05:00,62860.41,2024-05-03T21:20:00,62593.79481490315,Stop Loss,0.2969292424072987,-135.16112668122673,-0.4241384761837421,74.58120982992364,18.665093918712184
124,S001_RR1,BTC/USDT,2024-05-03T21:10:00,62776.09,2024-05-03T21:25:00,62515.257506249385,Stop Loss,0.29683824697844646,-133.32809372323163,-0.41549655888191084,74.4599529708448,18.634344507761185
125,S001_RR1,BTC/USDT,2024-05-03T21:15:00,62620.01,2024-05-03T21:35:00,62362.73517208281,Stop Loss,0.29709301396034665,-132.24645655742978,-0.41085082534671225,74.33943546646614,18.603967505127045
126,S001_RR1,BTC/USDT,2024-05-03T21:20:00,62650.51,2024-05-03T21:35:00,62398.97048247177,Stop Loss,0.2964670631927072,-130.29462016018144,-0.4014963605695021,74.22067764686284,18.573812707225336
127,S001_RR1,BTC/USDT,2024-05-03T21:25:00,62515.99,2024-05-03T22:25:00,62926.16152531856,Take Profit,0.29662897340805566,66.03659667059628,0.6561065822017075,74.29788449962956,18.544053935288275
128,S001_RR1,BTC/USDT,2024-05-03T22:00:00,62757.37,2024-05-03T23:30:00,63210.051586475536,Take Profit,0.295639031879182,78.16976164490808,0.7213201994849905,74.34794278630966,18.553528110083622
129,S001_RR1,BTC/USDT,2024-05-03T22:10:00,62729.99,2024-05-03T23:30:00,63138.52350273051,Take Profit,0.2959577164083939,65.21236877228048,0.6512570825063289,74.38260700542997,18.565424590721385
130,S001_RR1,BTC/USDT,2024-05-03T22:15:00,62776.52,2024-05-03T23:30:00,63165.25236903311,Take Profit,0.29588657985229533,59.2965017575997,0.6192321094465104,74.41393988246796,18.574729797829217
131,S001_RR1,BTC/USDT,2024-05-03T22:20:00,62781.12,2024-05-03T23:30:00,63141.694719828694,Take Profit,0.2959942598679813,50.979493878549576,0.5743362332954426,74.43813263965447,18.58285114808292
132,S001_RR1,BTC/USDT,2024-05-03T22:25:00,62946.57,2024-05-03T23:30:00,63323.031423851535,Take Profit,0.2953188574217714,55.40823016214987,0.5980650317428496,74.46841268163342,18.589309131019554
